num;open;close;low;high
651;108.84;112.92;108.56;113.3;
652;112.9;117.28;112.72;117.85;
653;117.17;117.83;115.84;119.39;
654;118.13;119.6;117.35;119.95;
655;118.89;119.28;117.89;119.55;
656;119.0;119.15;118.11;119.91;
657;116.95;117.95;116.01;118.0;
658;119.05;121.4;118.9;123.35;
659;120.06;123.94;120.06;123.97;
660;124.98;119.72;118.2;125.55;
661;118.67;121.04;117.9;121.39;
662;120.83;119.99;119.6;121.51;
663;119.87;119.31;116.75;119.94;
664;120.77;120.5;119.57;122.37;
665;121.0;124.03;120.0;124.37;
666;124.1;123.55;122.0;125.78;
667;122.08;120.46;119.31;122.25;
668;120.97;121.49;120.4;122.3;
669;120.1;120.55;118.41;120.86;
670;120.07;119.39;118.57;121.35;
671;120.17;123.25;120.06;123.62;
672;121.0;121.5;121.0;124.38;
673;121.71;121.12;119.69;121.95;
674;122.19;122.55;121.66;123.62;
675;123.21;122.72;120.6;123.27;
676;122.26;123.31;121.83;123.54;
677;122.02;120.66;120.3;122.17;
678;122.02;121.35;120.8;122.47;
679;121.37;121.9;120.12;122.2;
680;121.69;123.63;121.4;124.06;
681;124.82;127.93;124.8;128.55;
682;128.46;132.43;126.9;133.05;
683;131.92;133.51;131.35;134.79;
684;133.9;134.44;132.55;135.08;
685;135.36;133.07;132.41;135.98;
686;132.76;132.76;132.75;132.9;
687;131.56;132.71;130.47;133.04;
688;132.99;131.33;130.97;134.37;
689;132.0;133.97;132.0;134.78;
690;134.51;140.01;134.08;140.11;
691;141.05;139.14;137.37;141.93;
692;139.71;139.51;137.0;140.64;
693;138.3;133.75;133.31;142.0;
694;132.42;126.48;126.12;132.44;
695;126.85;129.69;126.56;130.18;
696;128.93;127.04;125.78;129.18;
697;129.28;129.9;128.98;130.82;
698;131.03;132.24;131.03;133.53;
699;132.07;132.97;129.91;133.4;
700;134.59;134.57;133.57;135.85;
701;134.56;138.07;133.95;138.33;
702;132.08;133.43;129.16;133.54;
703;133.87;126.07;125.42;134.9;
704;127.61;129.33;125.77;129.77;
705;130.47;133.89;129.79;133.93;
706;133.6;133.55;131.05;135.29;
707;132.59;133.76;131.61;134.4;
708;134.35;134.35;133.84;135.88;
709;134.4;131.93;131.66;135.38;
710;131.52;129.21;127.81;132.02;
711;130.38;131.67;129.95;133.43;
712;130.77;134.24;130.4;134.43;
713;134.83;137.28;134.56;137.81;
714;137.17;140.0;136.87;140.44;
715;140.15;139.16;137.85;141.32;
716;139.97;139.84;137.53;140.64;
717;139.48;137.77;137.22;139.71;
718;138.35;139.77;137.87;139.87;
719;139.69;139.11;138.37;141.05;
720;139.37;138.75;137.38;139.97;
721;139.33;138.45;137.85;139.9;
722;138.0;137.94;137.61;138.91;
723;138.27;135.72;135.57;138.73;
724;136.16;135.96;133.29;136.66;
725;136.04;136.53;135.14;137.54;
726;137.12;136.87;134.89;137.41;
727;136.56;139.17;135.89;139.77;
728;139.93;138.53;137.52;141.14;
729;138.49;135.23;135.04;138.64;
730;134.91;136.09;134.21;136.14;
731;136.47;137.08;136.05;137.63;
732;137.55;138.73;137.37;138.95;
733;139.05;139.64;138.03;140.13;
